text;favorited;created
RT @tonusoots: #etvfoorum Kui stuudiokujundust vaadata, on kõigil käed kristallkuulide peal.;FALSE;26.02.2017 17:00
RT @R31M0: Saadaks Valitsuse Ruhnu saarele. Hea rahulik neil seal olla. :)  #etvfoorum;FALSE;24.02.2017 20:15
RT @TriinuSalong: #etvfoorum 2012 a kui mu abikaasa läks vanemapalga avaldust viima  , siis ametnik küsis temalt , et mis tal viga on , et;FALSE;23.02.2017 10:01
RT @janar_kirss: Eesti lagi on veel kaugel, kuid Partsi oma tundub käes olevat #etvfoorum;FALSE;23.02.2017 9:24
"Nimetame kõik jõupositsioonil isikud, kes näevad inimesi betooni taga;; et kadetid jääksid ilma .. #etvfoorum  https://t.co/qAlt2p2TFE";FALSE;22.02.2017 16:08
Vaadates eile #etvfoorum on see tõsi küll: https://t.co/BQQYgrAxLO via @WIRED https://t.co/cScPeX2Akk;FALSE;22.02.2017 7:55
Avaliku sektori töökohtade loomisega majanduskasvu tekitamine on münhausenlik vägitegu #etvfoorum;FALSE;21.02.2017 22:51
Koalitsiooni mõttekäigu taustal on ka Helme jutt ratsionaalne, arukas ja argumenteeritud. Nii ta läheb. #etvfoorum;FALSE;21.02.2017 21:57
Vabakaubanduslepped Venemaaga paneksid Narva piirilinnana õitsema. #etvfoorum;FALSE;21.02.2017 20:25
Tööjõupuudust ei ole. Kolige oma tehased siis Narva mitte Indiasse.India palkadega ärge meelitage. #etvfoorum;FALSE;21.02.2017 20:23
Võrust Narva õppima?Ehk oleks Viljandi siis kesktee kuhu Sisekaitseakadeemia kolida Narva ei ole tõmbekeskus #etvfoorum;FALSE;21.02.2017 20:04
@eestistatistika teab rääkida, et Ida-Virumaal elas mullu uusaastal 146 506 inimest, kellest 27 928 olid eestlased, @EvelynSepp. #etvfoorum;FALSE;21.02.2017 19:46
Uusi töökohti maa piirkondadesse ei tule, sest kolitava asutusega tulevad kaasa kõrgelt makstud ametnikud ju! #etvfoorum;FALSE;21.02.2017 19:00
Uus valitsus tulistab puusalt! #etvfoorum;FALSE;21.02.2017 18:58
#etvfoorum neil ei paista olevat nägemust regionaalpoliitikast, tahetakse kolida kuid võimu detsentraliseerimisest ei räägita.;FALSE;21.02.2017 18:58
