Lemma;Sagedus
narva;28
tallinn;21
riik;21
kolima;21
reinsalu;19
kolimine;19
inimene;18
eesti;18
valitsus;14
viima;13
tegema;12
uus;11
mitte;11
riigiasutus;10
avalik;10
tahtma;9
ska;9
vaja;8
regionaalpoliitika;8
pealinn;8
hea;8
teadma;7
sisekaitseakadeemia;7
raha;7
andma;7
rahvas;6
pevkur;6
looma;6
hoopis;6
elama;6
asutus;6
anvelt;6
tooma;5
tekitama;5
tegelema;5
sektor;5
saade;5
panema;5
palju;5
paide;5
minema;5
miks;5
lihtsalt;5
kus;5
kuhu;5
kogu;5
irl;5
hakkama;5
ehitama;5
ametnik;5
viimine;4
tunduma;4
teine;4
tegelikult;4
tamm;4
tagasi;4
sinna;4
rohkem;4
regioon;4
reformierakond;4
plaan;4
piirkond;4
maa;4
linn;4
kuid;4
kool;4
koht;4
jutt;4
juba;4
helme;4
asi;4
arvama;4
aeg;4
a;4
vist;3
visioon;3
vastu;3
vaatama;3
tund;3
toimuma;3
tehas;3
segama;3
riigikogu;3
pikk;3
peale;3
panustama;3
palk;3
osas;3
ning;3
miljon;3
maksma;3
laiali;3
keel;3
kaart;3
julgeolek;3
infrastruktuur;3
huvitav;3
haldusreform;3
haldus;3
foorum;3
enam;3
ekre;3
ega;3
betoon;3
aru;3
alustama;3
algama;3
aitama;3
aasta;3
venelane;2
varem;2
valimine;2
vajalik;2
vabaerakond;2
v;2
tundma;2
tulemus;2
too;2
toetama;2
tekitamine;2
teenus;2
teema;2
tee;2
tase;2
tarmo;2
suurem;2
suur;2
suunama;2
suu;2
sponsor;2
sm;2
sisse;2
sisekaitse;2
sest;2
selline;2
selgitama;2
seisukoht;2
saatma;2
saar;2
ruhnu;2
rong;2
regionaliseerima;2
regionaalareng;2
reaalne;2
rapsimine;2
rahulik;2
probleem;2
poliitik;2
piir;2
pealinnakesksus;2
peal;2
pea;2
parem;2
otsus;2
osa;2
omavalitsus;2
olukord;2
odavam;2
nagu;2
muutuma;2
muutma;2
muu;2
minister;2
mingi;2
meenutama;2
martin;2
maks;2
majanduskasv;2
maja;2
lumi;2
lubama;2
lootma;2
loosung;2
liiga;2
lennujaam;2
leidma;2
lairiba;2
kuulma;2
kunagi;2
kulu;2
kultuuriline;2
kuhugi;2
kov;2
kolimisplaan;2
kokku;2
kohe;2
kohalik;2
kodu;2
kodanik;2
koalitsioonipoliitik;2
kinni;2
kindlasti;2
kell;2
kah;2
kaasa;2
